month,complaint_description,total_requests
3,ARR - Recycling,906
3,ARR Brush and Bulk,884
3,311 CC - Other,867
3,Loud Music,816
3,Pavement Failure,704
3,Water Waste Report,668
3,Sign - Traffic Sign Emergency,657
3,Obstruction in ROW,644
3,Concerns in the ROW,625
3,Channels/Creeks/Drainage Easement,595
3,Austin Code - Signs/Billboards,583
3,Traffic Signal - New/Change,538
3,AE Street Light Issue - Address,533
3,Dangerous/Vicious Dog Investigation,529
3,APH - Graffiti Abatement - Public Property,520
3,ARR - Dead Animal Collection,513
3,Public Health - Environmental Services - City,495
3,ARR Street Sweeping,491
3,School Zone Flasher - Timing/Maintenance,484
3,Animal Services - Contact Request,471
3,DSD - Follow-Up,462
3,ATD - Concerns in Right of Way,440
3,Road Markings/Striping - Maintenance,394
3,Traffic Engineering - General,394
3,Zz_Loud Commercial Music,374
3,Park Maintenance - Grounds Plumbing Issues,364
3,ARR - General,364
3,Austin Code - Coronavirus,349
3,Loose Animal Not Dog,346
3,Bicycle Issues,307
3,ATD - Traffic Sign Maintenance,305
3,Coyote Complaints,294
3,WPD - Channels/Creek/Drainage Issues,289
3,DSD - Environmental Complaint,285
3,Animal In Vehicle,280
3,Animal Protection - Assistance Request,276
3,Sign - Street Name,274
3,Lost Item in Storm Drainage System,272
3,Construction Items in ROW,269
3,ATD - Construction Items in Right of Way,269
3,Tree Issue ROW/Emergency (PW),267
3,Bat Complaint,262
3,DSD - Outdoor Commercial Venue Music Complaint,261
3,Traffic Calming,254
3,Sign - Parking Sign Maintenance,249
3,ATD - Parking Sign Maintenance,244
3,Pet Resource Center - Assistance Request,237
3,Tree Issue ROW/Maintenance (PW),236
3,Road Markings/Striping - New,231
3,Sidewalk/Curb Ramp/Route - NEW,227
3,Alley & Unpaved Street Maintenance,219
3,Animal Protection - Found Animal Assistance,217
3,Park Maintenance - Grounds Electrical Issues,213
3,AW - Water Waste Report,210
3,Street Light Issue- Multiple poles/multiple streets,199
3,Street Lights New,188
3,Construction items in ROW,186
3,Flooding  Current (Non-Emergency),181
3,AW - Water Conservation Violation,172
3,Creek & Pond Vegetation Control,166
3,ATD - Lane/Road Closure Notification,156
3,ACD - Short Term Rental Complaint,145
3,Curb/Gutter Repair,141
3,Standing Water,129
3,Aquatics Hotline Inquiry,128
3,Park Maintenance - Building Plumbing Issues,125
3,ATD - Traffic Sign New,120
3,Animal Protection - Animal Bite,118
3,ATD - Dig Tess Request,117
3,View Obstruction at Intersection,112
3,ARR - Bulk,110
3,ARR - Street Sweeping,105
3,ATD - Speed Management,101
3,Community Connections - Coronavirus,99
3,Speed Management,98
3,Flooding - Past,98
3,Park Maintenance - Building Issues,88
3,Austin Code - Short Term Rental (STR) Appointment,85
3,Street Resurfacing,84
3,Animal Trapped in Storm Drain,84
3,APH - Environmental Health Services - City,81
3,ATD - Booting Complaint,77
3,ARR - Special Services,77
3,Pet Resource Center - Found Pet Report,75
3,Construction Items- ROW,75
3,Mowing Medians,73
3,ATD - Road Markings/Striping - Maintenance,72
3,Code Compliance - Signs/Billboards,72
3,ATD - Street Name Sign Maintenance,72
3,Park Maintenance - Pool Issues,71
3,Tree Issue ROW/Maintenance (PARD),69
3,ARR - On Call Bulk,69
3,ATD - Parking Machine Issue,66
3,Animal Protection - Dangerous Dog Complaint,63
3,TARA - Telecommunication Complaint,63
3,Mowing City Parks,62
3,Speed Limit - Changes/Signs,62
3,ARR - Brush,62
3,ATD - Traffic Signal - New/Modification,62
3,Street Resurfacing Inquiry,62
3,Animal Protection - Loose Dog,62
3,Sign - School Zone Sign Maintenance,58
3,ATD - Traffic Sign Emergency,57
3,ARR - Spillage Trash/Fluids,56
3,Neighborhood Home Programs,55
3,APD - Vehicle Abatement Callback Request,54
3,Guardrail New/Repair,51
3,WPD - Drainage Pond Maintenance,48
3,Flooding Current (Non-Emergency),47
3,ARR - Property Damage Report,47
3,School Zone - New/Review/Changes,46
3,Austin Code - Construction Rest Break Complaint,43
3,SBO - New Sidewalk/Curb Ramp/Route,42
3,WPD - Standing Water,42
3,Parking Ticket Complaint,41
3,Park Maintenance - Building A/C & Heating Issues,40
3,Ditch/Driveway Pipe Services,39
3,Water Theft Report,39
3,Storm Drain Pipe Services,39
3,ATD - Special Event,38
3,Park Maintenance - Building Electrical Issues,36
3,Guardrail Repair,36
3,WPD - Lost Item in Storm Drainage System,35
3,ATD - School Zone Beacon - Maintenance,33
3,AE Street Light Issue - No Address,32
3,Loose Animal (not dog),32
3,Animal Protection - Animal In Vehicle,32
3,Code Compliance - Short Term Rental (STR) Appointment,32
3,Tree Issue ROW/Emergency (PARD),32
3,ATD - Bicycle &amp; Pedestrian Issues,32
3,Roadway Spillage,30
3,Construction/Permitting- ROW,30
3,Park Maintenance - Cemeteries,29
3,ATD - Road Markings/Striping - New,28
3,Public Health - Environmental Services - County,28
3,AW - Water Theft Report,27
3,311 CRIS - City Vehicle Report,27
3,School Issues - Crossing Guards,26
3,WPD - Flooding Current,25
3,Residential Parking Permit Enforcement,23
3,Drainage - Miscellaneous,22
3,Bridge Repair,21
3,Animal Roadside Sales,21
3,AFD - Wildfire Concern / Presentation,21
3,Corridor Program Office - Corridor Feedback,20
3,WPD - Lady Bird Lake Debris Issues,19
3,ATD - View Obstruction and Fencing at Intersection,19
